id,name,total.votes,con,green,lab,ld,snp,ukip,other,con.pct,green.pct,lab.pct,ld.pct,snp.pct,ukip.pct,other.pct,winner.party,winner.position,leave.top.party,leave.top.votes,leave.total.votes,remain.top.party,remain.top.votes,remain.total.votes,party.status,leave.ideal.case,remain.ideal.case,leave.16.exact,leave.16,brexit.status,leave.practical.case,remain.practical.case
W07000049,Aberavon,31523,3742,711,15416,1397,0,4971,5286,11.870697585889669,2.2554959870570697,48.90397487548774,4.4316848015734545,0,15.76943818798972,16.768708562002345,lab,remain,ukip,15.76943818798972,27.64013577387939,lab,48.90397487548774,55.59115566411826,Solid remain,lab,lab,FALSE,60.12448399,Solid leave,NA,NA
W07000058,Aberconwy,30148,12513,727,8514,1391,0,3467,3536,41.505240811994156,2.411436911237893,28.24067931537747,4.6139047366326125,0,11.499933660607669,11.728804564150193,con,leave,con,41.505240811994156,53.00517447260182,lab,28.24067931537747,35.266020963247975,Solid leave,con,con,FALSE,52.197117309999996,Swing,NA,NA
S14000001,Aberdeen North,43936,5304,0,0,2050,24793,0,11789,12.0721048798252,0,0,4.6658776402039335,56.42980699198835,0,26.832210487982522,snp,remain,con,12.0721048798252,12.0721048798252,snp,56.42980699198835,61.09568463219228,Solid remain,snp,snp,FALSE,43.09220874,Solid remain,NA,NA
S14000002,Aberdeen South,48551,11087,964,12991,2252,20221,897,139,22.83578093139173,1.9855409775287842,26.757430330992154,4.638421453729069,41.64898766245803,1.8475417602109123,0.2862968836893164,snp,remain,con,22.83578093139173,24.683322691602644,snp,41.64898766245803,75.03038042470804,Solid remain,snp,snp,FALSE,32.1431052,Solid remain,NA,NA
S14000058,Aberdeenshire West & Kincardine,55196,15916,885,2487,11812,22949,1006,141,28.835422856728748,1.603377056308428,4.505761287049786,21.40010145662729,41.57728820929053,1.8225958402782811,0.255453293716936,snp,remain,con,28.835422856728748,30.65801869700703,snp,41.57728820929053,69.08652800927604,Solid remain,snp,snp,TRUE,38.51948274,Solid remain,NA,NA
S14000003,Airdrie & Shotts,44286,3389,0,15108,678,23887,1088,136,7.65253127399178,0,34.114618615363774,1.5309578647879691,53.9380391094251,2.456758343494558,0.30709479293681974,snp,remain,con,7.65253127399178,10.109289617486338,snp,53.9380391094251,89.58361558957684,Solid remain,snp,snp,FALSE,39.83812657,Solid remain,NA,NA
E14000530,Aldershot,46191,23369,2025,8468,4076,0,8253,0,50.592106687449935,4.383970903422744,18.33257560996731,8.824229828321535,0,17.867116970838477,0,con,leave,con,50.592106687449935,68.45922365828841,lab,18.33257560996731,31.54077634171159,Solid leave,con,con,TRUE,57.89776574,Solid leave,NA,NA
E14000531,Aldridge-Brownhills,39497,20558,826,8835,1330,0,7751,197,52.049522748563184,2.0912980732713877,22.368787502848317,3.367344355267489,0,19.624275261412258,0.49877205863736485,con,leave,con,52.049522748563184,71.67379800997544,lab,22.368787502848317,27.827429931387194,Solid leave,con,con,TRUE,67.79634958,Solid leave,NA,NA
E14000532,Altrincham & Sale West,50517,26771,1983,13481,4235,0,4047,0,52.99404160975513,3.9254112476987943,26.686066076766235,8.38331650731437,0,8.011164558465467,0,con,leave,con,52.99404160975513,61.005206168220596,lab,26.686066076766235,38.9947938317794,Solid leave,con,con,FALSE,38.58779999,Solid remain,NA,NA
W07000043,Alyn & Deeside,41314,13197,976,16540,1733,0,7260,1608,31.9431669651934,2.362395313937164,40.03485501282858,4.1947039744396575,0,17.572735634409643,3.892143099191557,lab,remain,con,31.9431669651934,49.51590259960304,lab,40.03485501282858,46.5919543012054,Tactical swing,con,lab,FALSE,58.053368750000004,Solid leave,NA,NA
E14000533,Amber Valley,45717,20106,1087,15901,1360,0,7263,0,43.97926373121596,2.3776713257650326,34.78137235601636,2.9748233698624142,0,15.886869217140232,0,con,leave,con,43.97926373121596,59.86613294835619,lab,34.78137235601636,40.13386705164381,Tactical swing,con,lab,FALSE,65.29912472,Solid leave,NA,NA
S14000004,Angus,44485,12900,965,3919,1216,24130,1355,0,28.9985388333146,2.1692705406316737,8.80971113858604,2.7335056760705854,54.24300325952568,3.045970551871417,0,snp,remain,con,28.9985388333146,32.04450938518602,snp,54.24300325952568,67.95549061481398,Solid remain,snp,snp,FALSE,48.2443342,Swing,NA,NA
N06000005,Antrim East,33497,549,0,0,0,0,3660,29288,1.6389527420366004,0,0,0,0,10.926351613577335,87.43469564438607,ukip,leave,ukip,10.926351613577335,12.565304355613936,green,0,0,Solid leave,ukip,ukip,NA,NA,NA,NA,NA
N06000012,Antrim North,41907,368,0,0,0,0,1341,40198,0.8781349177941633,0,0,0,0,3.1999427303314483,95.92192235187439,ukip,leave,ukip,3.1999427303314483,4.078077648125611,green,0,0,Swing,ukip,green,NA,NA,NA,NA,NA
N06000014,Antrim South,36523,415,0,0,0,0,0,36108,1.1362702954302768,0,0,0,0,0,98.86372970456972,con,leave,con,1.1362702954302768,1.1362702954302768,green,0,0,Swing,con,green,NA,NA,NA,NA,NA
W07000057,Arfon,26837,3521,0,8122,718,0,2277,12199,13.119946342735775,0,30.264187502328877,2.6754108134292207,0,8.484554905540858,45.455900435965276,lab,remain,con,13.119946342735775,21.604501248276634,lab,30.264187502328877,32.9395983157581,Solid remain,lab,lab,FALSE,35.845442979999994,Solid remain,NA,NA
S14000005,Argyll & Bute,51883,7733,0,5394,14486,22959,1311,0,14.904689397297766,0,10.39646897827805,27.92051346298402,44.25148892700885,2.5268392344313164,0,snp,remain,con,14.904689397297766,17.431528631729083,snp,44.25148892700885,82.56847136827092,Solid remain,snp,snp,FALSE,39.43239691,Solid remain,NA,NA
E14000534,Arundel & South Downs,56477,34331,3606,6324,4062,0,8154,0,60.787577243833766,6.384900047807072,11.197478619615065,7.192308373320112,0,14.437735715423978,0,con,leave,con,60.787577243833766,75.22531295925775,lab,11.197478619615065,24.77468704074225,Solid leave,con,con,FALSE,49.70110581,Swing,NA,NA
E14000535,Ashfield,47409,10628,0,19448,7030,0,10150,153,22.41768440591449,0,41.021746925689214,14.828408108165117,0,21.409437026724884,0.3227235335062963,lab,remain,con,22.41768440591449,43.82712143263937,lab,41.021746925689214,55.850155033854335,Tactical swing,con,lab,FALSE,70.47288884,Solid leave,NA,NA
E14000536,Ashford,57372,30094,2467,10580,3433,0,10798,0,52.45415882311929,4.3000069720421115,18.44105138395036,5.9837551418810575,0,18.821027679007184,0,con,leave,con,52.45415882311929,71.27518650212647,lab,18.44105138395036,28.724813497873527,Solid leave,con,con,FALSE,59.861947439999994,Solid leave,NA,NA
E14000537,Ashton Under Lyne,38918,8610,1531,19366,943,0,8468,0,22.12343902564366,3.9339123284855337,49.76103602446169,2.4230433218562104,0,21.758569299552907,0,lab,remain,con,22.12343902564366,43.882008325196566,lab,49.76103602446169,56.117991674803434,Solid remain,lab,lab,TRUE,61.80980255,Solid leave,NA,NA
